file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,63,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,64,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,22
style.css,65,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,2
style.css,66,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,60
style.css,67,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,49
style.css,68,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,69,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,70,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,26
style.css,71,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,10
style.css,72,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,38
style.css,73,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,79
style.css,74,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,43
style.css,75,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,46
style.css,76,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,77,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,78,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,36
style.css,79,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,80,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,44
style.css,81,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,60
style.css,82,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,50
style.css,83,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,56
style.css,84,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,46
style.css,85,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,60
style.css,86,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,40
style.css,87,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,70
style.css,88,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,89,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,90,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,22
style.css,91,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,44
style.css,92,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,40
style.css,93,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,42
style.css,94,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,47
style.css,95,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,96,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,97,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,20
style.css,98,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,50
style.css,99,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,49
style.css,100,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,101,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,102,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,25
style.css,103,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,5
style.css,104,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,35
style.css,105,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,79
style.css,106,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,51
style.css,107,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,43
style.css,108,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,76
style.css,109,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,48
style.css,110,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,50
style.css,111,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,74
style.css,112,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,40
style.css,113,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,70
style.css,114,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,115,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,116,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,34
style.css,117,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,6
style.css,118,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,32
style.css,119,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,30
style.css,120,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,121,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,122,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,37
style.css,123,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,6
style.css,124,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,51
style.css,125,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,126,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,127,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,128,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,36
style.css,129,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,6
style.css,130,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,50
style.css,131,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,132,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,133,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,0
style.css,134,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,18
style.css,135,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,11
style.css,136,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,62
style.css,137,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,48
style.css,138,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,40
style.css,139,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,43
style.css,140,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,141,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,142,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,31
style.css,143,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,10
style.css,144,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,14
style.css,145,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,63
style.css,146,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,61
